GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.view,JWKSetView,38,0,0,0,11,0,3,0,3,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect,ClientDetailsEntityJsonProcessor,709,0,70,0,144,0,42,0,7,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.model.convert,JsonObjectStringConverter,26,0,4,0,8,0,5,0,3,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.exception,DeviceCodeCreationException,14,0,0,0,6,0,3,0,3,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.service,MITREidDataServiceMaps,116,0,0,0,32,0,13,0,13,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,UIConfiguration,17,0,0,0,7,0,5,0,5,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,ConfigurationPropertiesBean,167,0,12,0,53,0,33,0,27,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,JWKSetEditor,21,0,2,0,8,0,3,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,ConfigurationBeanLocaleResolver.new TimeZoneAwareLocaleContext() {...},14,0,0,0,3,0,3,0,3,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,ServerConfiguration.UserInfoTokenMethod,48,0,0,0,4,0,4,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,ServerConfiguration,1405,0,310,0,411,0,236,0,81,0
OpenID Connect Server Library/openid-connect-common,org.mitre.openid.connect.config,ConfigurationBeanLocaleResolver,24,0,2,0,6,0,5,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.util,JsonUtils.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
OpenID Connect Server Library/openid-connect-common,org.mitre.util,JsonUtils.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
OpenID Connect Server Library/openid-connect-common,org.mitre.util,JsonUtils.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
OpenID Connect Server Library/openid-connect-common,org.mitre.util,JsonUtils.new Object() {...},26,0,0,0,1,0,1,0,1,0
OpenID Connect Server Library/openid-connect-common,org.mitre.util,JsonUtils,443,0,75,0,120,0,59,0,20,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.assertion.impl,WhitelistedIssuerAssertionValidator,75,0,8,0,24,0,9,0,5,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.assertion.impl,NullAssertionValidator,5,0,0,0,2,0,2,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.assertion.impl,SelfAssertionValidator,53,0,8,0,18,0,7,0,3,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.encryption.service.impl,DefaultJWTEncryptionAndDecryptionService,507,0,42,0,118,0,37,0,16,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,OAuth2AccessTokenEntity,147,0,12,0,50,0,33,0,27,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,PKCEAlgorithm,42,0,4,0,11,0,6,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.oauth2.model,OAuth2RefreshTokenEntity,57,0,4,0,19,0,15,0,13,0
